Run,RunSeed,RunMinDistance_DRAMPPI,RunMinDistance_DRMPPI,RunMinDistance_MPPI,RunMinDistance_RAMPPI,SafetyViolation_DRAMPPI,SafetyViolation_DRMPPI,SafetyViolation_MPPI,SafetyViolation_RAMPPI,Collision_DRAMPPI,Collision_DRMPPI,Collision_MPPI,Collision_RAMPPI,TotalQSigmaInvStageCost_DRAMPPI,TotalQSigmaInvStageCost_DRMPPI,TotalQSigmaInvStageCost_MPPI,TotalQSigmaInvStageCost_RAMPPI,RunMaxComputeTimeMs_DRAMPPI,RunMaxComputeTimeMs_DRMPPI,RunMaxComputeTimeMs_MPPI,RunMaxComputeTimeMs_RAMPPI,AllOthersCollided,DROnlyNoCollision,DRMinDistanceAdvantage
30,155492488,0.29671511054039,0.721316397190094,0.24419018626213074,0.62837153673172,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.450003415346146,27.697806231677532,20.482870932668447,25.5276363696903,53.484764001041185,19.327949001308298,11.573829000553815,17.19935200162581,False,False,0.09294486045837402
31,1903701130,0.07548154145479202,0.6407397389411926,0.23197108507156372,0.5795499086380005,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.87706339918077,26.66276996396482,20.551898758858442,26.350543189793825,38.51287400175352,34.86718200292671,14.515974999085302,15.92332499785698,False,False,0.06118983030319214
32,1017961266,0.4573934078216553,0.6613216400146484,0.23517365753650665,0.6324193477630615,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.67031937278807,25.904731264337897,20.56064400076866,26.085186176002026,33.83604100235971,24.028947002079803,13.97944700147491,18.425829999614507,False,False,0.028902292251586914
33,1497769985,0.15888099372386932,0.7014690041542053,0.2320522516965866,0.6309325695037842,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.067599587142467,26.284497598186135,20.54819285310805,26.677427165210247,227.41108799891663,19.78905299984035,12.527793001936516,70.29662599961739,False,False,0.07053643465042114
34,456523489,0.49839961528778076,0.6542026996612549,0.2435055822134018,0.6068604588508606,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.967639634385705,26.674161544069648,20.539080891758204,30.050336131826043,39.45282700078678,18.72940999965067,10.483778998604976,20.269723998353584,False,False,0.04734224081039429
35,701095136,0.29646456241607666,0.5883611440658569,0.229482963681221,0.6483174562454224,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.526099625974894,26.647599529474974,20.464195715263486,26.436620764434338,39.3107929994585,19.177103000401985,12.07317599983071,18.60090500122169,False,False,-0.05995631217956543
36,249069576,0.23507441580295563,0.6996311545372009,0.23309263586997986,0.5238944292068481,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.431877868250012,28.41259683482349,20.502734944224358,26.378561468794942,29.58868300265749,18.803199996909825,12.443474002793664,17.026159999659285,False,False,0.17573672533035278
37,1576098728,0.624659538269043,0.6181162595748901,0.23931701481342316,0.19623874127864838,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,25.159202560782433,25.664065381512046,20.594676544889808,27.761632381007075,30.096094000327867,18.890149000071688,9.726779997436097,17.477901001257123,False,False,-0.006543278694152832
38,1662748500,0.35171669721603394,0.6970953345298767,0.23959209024906158,0.6457222104072571,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.636704048141837,28.30783935263753,20.53705250658095,28.033014688640833,69.25018599940813,48.67601200021454,9.07626799744321,26.39814199937973,False,False,0.05137312412261963
39,472736216,0.5535443425178528,0.6655716300010681,0.24327097833156586,0.5965192914009094,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.93552778661251,28.954074155539274,20.51191117055714,30.45524812489748,39.765842997439904,19.487443001708016,10.440288999234326,15.534739999566227,False,False,0.06905233860015869
