Algorithm,Run,RunMinDistance,SafetyViolation,Collision,TotalQSigmaInvStageCost,RunMaxComputeTimeMs
DRMPPI,19,1.8182594776153564,0.0,0.0,4.4308238595258445,8.934408997447463
DRMPPI,20,1.8269788026809692,0.0,0.0,4.4028362093959,7.513215001381468
DRMPPI,21,1.7894638776779175,0.0,0.0,4.4482996326405555,12.413916003424674
DRMPPI,22,1.823087215423584,0.0,0.0,4.439956317655742,7.4871219985652715
DRMPPI,23,1.835134744644165,0.0,0.0,4.450174959609285,7.235699999000644
DRMPPI,24,1.8177292346954346,0.0,0.0,4.40499679162167,7.820131999324076
DRMPPI,25,1.8338934183120728,0.0,0.0,4.36390638933517,30.982696000137366
DRMPPI,26,1.7898551225662231,0.0,0.0,4.3673353414051235,7.307372998184292
DRMPPI,27,1.8383009433746338,0.0,0.0,4.428085585124791,7.385471999441506
DRMPPI,28,1.7930331230163574,0.0,0.0,4.4572195305954665,8.303634000185411
DRMPPI,29,1.846699595451355,0.0,0.0,4.467421746812761,69.88608900064719
DRMPPI,30,1.8506375551223755,0.0,0.0,4.346316456096247,66.26042199786752
DRMPPI,31,1.8214304447174072,0.0,0.0,4.4310042324941605,7.565265001176158
DRMPPI,32,1.8979833126068115,0.0,0.0,4.285284531768411,7.165156999690225
DRMPPI,33,1.832053303718567,0.0,0.0,4.451073240255937,7.539213002019096
DRMPPI,34,1.8284096717834473,0.0,0.0,4.4268049208913,7.318676998693263
DRMPPI,35,1.866044282913208,0.0,0.0,4.37424252810888,7.0188810022955295
DRMPPI,36,1.790529489517212,0.0,0.0,4.375084848375991,7.226284000353189
DRMPPI,37,1.8622691631317139,0.0,0.0,4.398610576055944,7.048489998851437
DRMPPI,38,1.8681750297546387,0.0,0.0,4.390021265251562,7.066999998642132
DRMPPI,39,1.8532147407531738,0.0,0.0,4.42823257506825,7.119477002561325
DRMPPI,40,1.830800175666809,0.0,0.0,4.3853630071971565,8.458369000436505
DRMPPI,41,1.8009718656539917,0.0,0.0,4.432539751753211,7.466816998203285
DRMPPI,42,1.8142749071121216,0.0,0.0,4.392131733242422,9.17749599830131
DRMPPI,43,1.8290048837661743,0.0,0.0,4.367206097813323,8.537082001566887
DRMPPI,44,1.8873836994171143,0.0,0.0,4.374143995344639,7.122341998183401
DRMPPI,45,1.8772188425064087,0.0,0.0,4.377328482223675,7.651151998288697
DRMPPI,46,1.8779627084732056,0.0,0.0,4.33696148567833,15.522095996857388
DRMPPI,47,1.816315770149231,0.0,0.0,4.421016443986446,7.417256001645001
DRMPPI,48,1.852748155593872,0.0,0.0,4.4181599139701575,8.256847999291494
DRMPPI,49,1.8905880451202393,0.0,0.0,4.317815002752468,14.161475999571849
DRMPPI,50,1.8454816341400146,0.0,0.0,4.370517674367875,7.507510999857914
DRMPPI,51,1.853119134902954,0.0,0.0,4.3980852293316275,7.079686001816299
DRMPPI,52,1.863162875175476,0.0,0.0,4.363230880582705,7.0281169973895885
DRMPPI,53,1.8252350091934204,0.0,0.0,4.485885238042101,8.047695002460387
DRMPPI,54,1.9124723672866821,0.0,0.0,4.316395939560607,7.479297000827501
DRMPPI,55,1.8377723693847656,0.0,0.0,4.337302996544167,8.769983000092907
DRMPPI,56,1.8358595371246338,0.0,0.0,4.438544694101438,7.2988739993888885
DRMPPI,57,1.8741487264633179,0.0,0.0,4.38868970121257,8.685904998856131
DRMPPI,58,1.77632737159729,0.0,0.0,4.453102926025167,7.169301999965683
DRMPPI,59,1.8009611368179321,0.0,0.0,4.413099464029074,7.677870999032166
DRMPPI,60,1.794920802116394,0.0,0.0,4.395082997391,7.666679997782921
DRMPPI,61,1.8254451751708984,0.0,0.0,4.403738474240527,13.422175001323922
DRMPPI,62,1.8016114234924316,0.0,0.0,4.349570774007589,7.217086000309791
DRMPPI,63,1.7679202556610107,0.0,0.0,4.390643883962184,6.981714999710675
DRMPPI,64,1.7740839719772339,0.0,0.0,4.468461340060458,7.143511000322178
