epsilon,collision_prob,collision_free_prob,safety_violation_prob,run_min_distance_min,run_min_distance_mean,run_min_distance_std,run_max_compute_time_ms_mean,run_max_compute_time_ms_std
0.39,0.63,0.37,0.63,0.4613392960693849,0.6866140520916006,0.10083847142101396,392.01870214310475,70.91629695855133
0.42,0.67,0.32999999999999996,0.67,0.5428807059042191,0.6819931260419757,0.09642660127246086,374.5999300421681,88.11166938420915
0.395,0.63,0.37,0.63,0.460845116464317,0.6779506942177211,0.10250016603381115,397.42726534837857,78.13397869799793
0.4,0.65,0.35,0.65,0.5428807059042191,0.6868013814513537,0.09869328656529602,400.22667426615953,72.97320608929766
0.415,0.67,0.32999999999999996,0.67,0.5428807059042191,0.6820652442796034,0.0965489581389963,360.5114426568616,103.61706659160865
0.43,0.69,0.31000000000000005,0.69,0.5428807059042191,0.6778735615035503,0.09368074391226493,392.561961641768,73.64362297006019
0.425,0.69,0.31000000000000005,0.69,0.5428807059042191,0.6778735615035503,0.09368074391226493,400.17480764654465,66.6774967292638
0.41,0.67,0.32999999999999996,0.67,0.5428807059042191,0.6830635657389884,0.09751253434412736,384.53226016368717,90.77540954532135
0.44,0.69,0.31000000000000005,0.69,0.5428807059042191,0.6778735615035503,0.09368074391226493,400.98848670721054,73.21070185156918
0.435,0.69,0.31000000000000005,0.69,0.5428807059042191,0.6778735615035503,0.09368074391226493,403.1320649839472,63.81641805046556
0.445,0.69,0.31000000000000005,0.69,0.5428807059042191,0.6778735615035503,0.09368074391226493,391.3796306180302,82.14143316016288
