epsilon,Run,Seed,RunMinDistance,SafetyViolation,Collision,TotalQRCost,RunMaxComputeTimeMs
0.001,44,1597751082,0.09262531250715256,0.0,0.0,6.812082467949949,46.74457781948149
0.001,45,730359585,-0.1173836812376976,1.0,1.0,7.5137339446228,45.784165151417255
0.001,46,1016641002,-0.11010021716356277,1.0,1.0,7.263144193799235,46.22459597885609
0.001,47,998994690,-0.0022237508092075586,1.0,1.0,6.880147509509698,45.51204782910645
0.001,48,1021240743,0.0038262938614934683,0.0,0.0,6.569511232548393,46.46843113005161
0.001,49,572134801,-0.10165254771709442,1.0,1.0,7.480249725864269,46.71872896142304
0.001,50,1198399760,0.05530492588877678,0.0,0.0,6.615344189456664,47.04553703777492
0.001,51,1751866485,0.06563056260347366,0.0,0.0,6.807151550194249,45.747588854283094
0.001,52,1070889713,0.034345466643571854,0.0,0.0,6.818716271198355,46.03768396191299
0.001,53,415096539,-0.09732890129089355,1.0,1.0,7.6132315376307815,44.97806401923299
0.001,54,52416235,0.11602170765399933,0.0,0.0,6.5965919942827895,50.12042494490743
0.001,55,278032723,-0.07367915660142899,1.0,1.0,6.725752264494076,45.49768101423979
0.001,56,174946158,-0.11991947144269943,1.0,1.0,7.5351043730042875,45.27039802633226
0.001,57,196848554,0.02227068692445755,0.0,0.0,7.061488802661188,45.65133713185787
0.001,58,263030910,-0.017219100147485733,1.0,1.0,7.094786694739014,45.23983015678823
0.001,59,1285415020,0.0016488467808812857,0.0,0.0,6.9556775939418,45.01775489188731
0.001,60,1733223444,-0.10161710530519485,1.0,1.0,7.274809588911012,46.105512883514166
0.001,61,1835544261,-0.03914759308099747,1.0,1.0,6.737245139083825,46.42790788784623
0.001,62,1403186970,3.175758820361807e-06,0.0,0.0,7.180997923249379,46.47507821209729
0.001,63,1291971777,-0.04240375757217407,1.0,1.0,6.486179177532904,47.016879078000784
0.001,64,712292067,0.017343157902359962,0.0,0.0,7.0091539598070085,46.78826290182769
0.001,65,2001429764,-0.08617658168077469,1.0,1.0,7.354746749158949,49.057211028411984
0.001,66,1375664061,-0.08728326112031937,1.0,1.0,7.601516286493279,47.10503690876067
0.001,67,1556456120,0.0974690243601799,0.0,0.0,6.798951059696265,47.220350010320544
0.001,68,1576053187,-0.061616890132427216,1.0,1.0,6.024215202080086,47.00162191875279
0.001,69,1848019881,0.09065955132246017,0.0,0.0,6.643993056146428,46.467430889606476
0.001,70,1508652585,-0.09350910782814026,1.0,1.0,7.578136054682545,47.18565405346453
0.001,71,1995737731,-0.03594008833169937,1.0,1.0,6.024120871908963,47.778138890862465
0.001,72,1162788447,0.06584349274635315,0.0,0.0,6.675558973802254,46.191192930564284
0.001,73,1172925522,-0.1285904347896576,1.0,1.0,7.463713802746497,47.06341098062694
0.001,74,539174575,-0.1068112850189209,1.0,1.0,7.524144450319,46.492149122059345
0.001,75,2013637345,-0.05924621596932411,1.0,1.0,6.143387760850601,47.29835502803326
0.001,76,1187468716,-0.07198052108287811,1.0,1.0,6.727839951985516,47.15190106071532
0.001,77,1062978506,0.001222328282892704,0.0,0.0,7.169850420556031,47.24949109368026
0.001,78,679326770,-0.04096869379281998,1.0,1.0,7.333676773821935,47.596007119864225
0.001,79,587923432,0.000438904418842867,0.0,0.0,7.04213580081705,47.06098302267492
0.001,80,1359889667,-0.10686412453651428,1.0,1.0,7.336761066224426,47.054207883775234
0.001,81,970187386,0.033556416630744934,0.0,0.0,7.094011427951045,47.4404850974679
0.001,82,1219839873,-0.0736127644777298,1.0,1.0,6.921934274723753,47.64935281127691
0.001,83,1428160212,0.042498718947172165,0.0,0.0,6.968807140132412,46.49306903593242
0.001,84,1930609499,0.0829969272017479,0.0,0.0,6.620769833447412,47.410769155249
0.001,85,710582861,0.025960493832826614,0.0,0.0,7.039326944272034,46.89733008854091
0.001,86,1463614337,-0.1007252186536789,1.0,1.0,7.299006561865099,47.57187911309302
0.001,87,1940152705,-0.09783832728862762,1.0,1.0,7.003379245405085,47.02836903743446
0.001,88,985452196,0.08682200312614441,0.0,0.0,6.907979333307594,46.82857892476022
0.001,89,552062587,-0.09611528366804123,1.0,1.0,7.686670101713389,47.06142283976078
0.001,90,623566272,-0.10372257977724075,1.0,1.0,7.579563709325157,47.09292808547616
0.001,91,729775797,-0.021831493824720383,1.0,1.0,6.780716420151293,48.01376792602241
0.001,92,1352536665,-0.12001992762088776,1.0,1.0,7.439927996136248,47.27858700789511
0.001,93,555883440,0.06953319907188416,0.0,0.0,6.9821563847362995,47.47995105572045
0.001,94,1801800003,-0.08883313834667206,1.0,1.0,7.383118635858409,47.16530512087047
0.001,95,763315502,-0.012228615581989288,1.0,1.0,7.09509929921478,48.1167349498719
0.001,96,138897982,-0.0799974575638771,1.0,1.0,6.647973256767727,47.88113315589726
0.001,97,10785379,-0.10629292577505112,1.0,1.0,7.534689950174652,47.80275281518698
0.001,98,53923185,-0.04838824272155762,1.0,1.0,7.536505755153485,49.202953930944204
