Algorithm,Run,RunMinDistance,SafetyViolation,Collision,TotalTrackingControlCost,TotalQSigmaInvStageCost,TotalQRStageCost,RunMaxComputeTimeMs
RAMPPI,13,-0.11415810137987137,1.0,1.0,6.6746354846982285,6.6746354846982285,6.6746354846982285,19.738259026780725
RAMPPI,14,-0.12212219089269638,1.0,1.0,7.320739177404903,7.320739177404903,7.320739177404903,19.433267880231142
RAMPPI,15,0.11168254911899567,0.0,0.0,6.6808712255442515,6.6808712255442515,6.6808712255442515,27.50182501040399
RAMPPI,16,-0.30000001192092896,1.0,1.0,6.810727795003913,6.810727795003913,6.810727795003913,19.84207099303603
RAMPPI,17,0.048525430262088776,0.0,0.0,6.802615787717514,6.802615787717514,6.802615787717514,19.54894093796611
RAMPPI,18,0.04378019645810127,0.0,0.0,6.632587042637169,6.632587042637169,6.632587042637169,19.116798881441355
RAMPPI,19,-0.08617375046014786,1.0,1.0,6.665954959229566,6.665954959229566,6.665954959229566,20.014496985822916
RAMPPI,20,-0.021727504208683968,1.0,1.0,7.2091226185439155,7.2091226185439155,7.2091226185439155,19.186408957466483
RAMPPI,21,-0.007797058206051588,1.0,1.0,7.050241970689967,7.050241970689967,7.050241970689967,25.374276097863913
RAMPPI,22,-0.10097569972276688,1.0,1.0,7.282494114595465,7.282494114595465,7.282494114595465,39.05925084836781
RAMPPI,23,-0.05372599512338638,1.0,1.0,6.607999874511734,6.607999874511734,6.607999874511734,19.21008713543415
RAMPPI,24,0.15425138175487518,0.0,0.0,6.801081545301713,6.801081545301713,6.801081545301713,20.464044995605946
RAMPPI,25,0.10412314534187317,0.0,0.0,6.655596844851971,6.655596844851971,6.655596844851971,19.29540210403502
RAMPPI,26,0.03301446512341499,0.0,0.0,6.656053354847245,6.656053354847245,6.656053354847245,19.434978952631354
RAMPPI,27,0.15046213567256927,0.0,0.0,6.7626063948264346,6.7626063948264346,6.7626063948264346,19.3339919205755
